"Total","Taxon","Scenario","Nutrients","TotalG"
67.06,"japon","low","low",0.06706
61.08,"japon","low","low",0.06108
60.82,"japon","high","high",0.06082
66.74,"japon","high","high",0.06674
63.18,"japon","high","high",0.06318
61.31,"japon","high","high",0.06131
64.71,"bohem","high","high",0.06471
61.06,"bohem","high","high",0.06106
64.2,"bohem","high","high",0.0642
68.55,"bohem","high","high",0.06855
66.6,"bohem","high","high",0.0666
74.82,"bohem","high","high",0.07482
66.06,"japon","gradual","high",0.06606
67.01,"japon","gradual","high",0.06701
70.41,"japon","gradual","high",0.07041
63.43,"japon","gradual","high",0.06343
77.05,"japon","gradual","high",0.07705
61.79,"japon","gradual","high",0.06179
62.56,"bohem","gradual","high",0.06256
69.54,"bohem","gradual","high",0.06954
75.91,"bohem","gradual","high",0.07591
64.97,"bohem","gradual","high",0.06497
60.71,"bohem","gradual","high",0.06071
67.44,"japon","extreme","high",0.06744
77.74,"japon","extreme","high",0.07774
65.68,"japon","extreme","high",0.06568
71.07,"japon","extreme","high",0.07107
67.7,"bohem","extreme","high",0.0677
60.86,"bohem","extreme","high",0.06086
62.19,"bohem","extreme","high",0.06219
65.53,"bohem","extreme","high",0.06553
60.89,"bohem","extreme","high",0.06089
60.37,"bohem","extreme","high",0.06037
67.86,"bohem","extreme","high",0.06786
69,"japon","fluctuations","high",0.069
65.4,"japon","fluctuations","high",0.0654
63.08,"japon","fluctuations","high",0.06308
60.93,"japon","fluctuations","high",0.06093
68.73,"japon","fluctuations","high",0.06873
69.88,"japon","fluctuations","high",0.06988
69.48,"japon","fluctuations","high",0.06948
66.8,"bohem","fluctuations","high",0.0668
62.96,"bohem","fluctuations","high",0.06296
78.8,"bohem","fluctuations","high",0.0788
64.25,"bohem","fluctuations","high",0.06425
